route_path,provider,protection,notes
app/api/addresses/route.ts,clerk,authenticated,User address CRUD uses Clerk session
app/api/admin/account-requests-summary/route.ts,clerk,admin,Pending account counts guarded by Clerk admin check
app/api/admin/account-requests/route.ts,clerk,admin,Account requests listing guarded by Clerk admin check
app/api/admin/analytics/route.ts,clerk,admin,Admin analytics guarded by Clerk + allowlist
app/api/admin/approve-account/route.ts,clerk,admin,Approve account mutation uses Clerk admin guard
app/api/admin/business-accounts/approve/route.ts,clerk,admin,Business account approval uses Clerk admin guard
app/api/admin/business-accounts/route.ts,clerk,admin,Business account listing uses Clerk admin guard
app/api/admin/cancel-account/route.ts,clerk,admin,Account cancellation uses Clerk admin guard
app/api/admin/manage-user/route.ts,clerk,admin,User management uses Clerk admin guard
app/api/admin/notifications/[id]/route.ts,clerk,admin,Notification detail uses Clerk admin guard
app/api/admin/notifications/route.ts,clerk,admin,Notifications list uses Clerk admin guard
app/api/admin/notifications/send/route.ts,clerk,admin,Send notification uses Clerk admin guard
app/api/admin/notifications/sent/route.ts,clerk,admin,Sent notifications uses Clerk admin guard
app/api/admin/orders/[id]/route.ts,clerk,admin,Order detail uses Clerk admin guard
app/api/admin/orders/route.ts,clerk,admin,Orders list uses Clerk admin guard
app/api/admin/premium-accounts/approve/route.ts,clerk,admin,Premium approval uses Clerk admin guard
app/api/admin/premium-accounts/route.ts,clerk,admin,Premium accounts list uses Clerk admin guard
app/api/admin/products/route.ts,clerk,admin,Product admin uses Clerk admin guard
app/api/admin/reject-account/route.ts,clerk,admin,Account rejection uses Clerk admin guard
app/api/admin/reviews/route.ts,clerk,admin,Reviews moderation uses Clerk admin guard
app/api/admin/stats/route.ts,clerk,admin,Admin stats uses Clerk admin guard
app/api/admin/subscriptions/[id]/route.ts,clerk,admin,Subscription detail uses Clerk admin guard
app/api/admin/subscriptions/cleanup-duplicates/route.ts,clerk,admin,Cleanup uses Clerk admin guard
app/api/admin/subscriptions/route.ts,clerk,admin,Subscriptions list uses Clerk admin guard
app/api/admin/users/[userId]/activate/route.ts,clerk,admin,User activation uses Clerk admin guard
app/api/admin/users/[userId]/delete-sanity/route.ts,clerk,admin,Sanity delete uses Clerk admin guard
app/api/admin/users/combined/route.ts,clerk,admin,Combined user export uses Clerk admin guard
app/api/admin/users/route.ts,clerk,admin,User list uses Clerk admin guard
app/api/admin/users/sync-to-sanity/route.ts,clerk,admin,Sync uses Clerk admin guard
app/api/analytics/best-sellers/route.ts,none,public,Readonly analytics endpoint intentionally unauthenticated
app/api/analytics/track/route.ts,none,public,Analytics pixel/track endpoint intentionally unauthenticated
app/api/cart-abandonment/route.ts,none,public,Public webhook-style cart abandonment ping
app/api/checkout/clerk/complete/route.ts,clerk,authenticated,Clerk checkout completion uses session
app/api/checkout/clerk/route.ts,clerk,authenticated,Clerk checkout tokenization uses session
app/api/checkout/stripe/route.ts,none,public,Stripe checkout webhook/client handler (no session enforcement)
app/api/contact/route.ts,none,public,Contact form submission is public
app/api/debug/calculate-points/route.ts,none,internal,Debug endpoint without auth (internal use)
app/api/debug/create-user/route.ts,none,internal,Debug endpoint without auth (internal use)
app/api/debug/update-user/route.ts,clerk,authenticated,Debug update uses Clerk session
app/api/debug/user-status/route.ts,none,internal,Debug endpoint without auth (internal use)
